PairID,DiffLOC,DiffIdentifierNo,DiffOperatorNo,DiffTokenNo,DiffTokenTypeDiversity,DiffUniqueIdentifierNo,DiffUniqueOperatorNo,DiffUniqueTokenNo,DiffFileNameScore,DiffMethodNameScore,IsSameReturnType,c2v_0,c2v_1,c2v_2,c2v_3,c2v_4,c2v_5,c2v_6,c2v_7,c2v_8,c2v_9,c2v_10,c2v_11,Decision
 0,17,4,4,38,0,4,4,7,0.0,0.8666666666666667,true,0.090812033419187,0.29805807345593255,0.32135829241438246,0.015589542599567593,0.34677567283490124,0.39730121500358917,-0.17698927263497066,-0.11664156756840575,0.4674239115617528,0.12939705413491664,0.3367273765051849,0.24889092499092363,true
 1,37,5,6,67,0,5,2,10,0.7272727272727273,0.7894736842105263,false,0.13002290962345683,0.005370848003582558,0.03446382981174349,0.2147036327651145,-0.4191209036336713,0.11030186613149558,-0.0014033575163459962,-0.4198896749077372,-0.06703170035243876,-0.0161002088229714,0.057908469014998944,0.24139887939147964,false
 2,1,4,1,7,0,7,3,6,0.0,0.6428571428571429,true,0.35540924003795243,0.4285300508389795,0.49542129285662956,0.08247701875002808,0.024308554998771954,0.5169802420568632,0.1947442014701611,0.2715454046140631,0.5172051756314824,0.42383275802594944,0.2695622118898666,0.31809078306849214,true
 3,6,22,11,30,0,10,1,10,0.6923076923076923,0.9,true,0.3191240384230463,0.1402230733241391,0.375555483108021,0.166577031782703,0.189050992520691,0.436979864953749,0.2934656032806959,0.048047048359340955,0.17514643476357686,0.07399611086542071,0.28891492401346935,0.14453704247213578,false
 4,2,40,12,79,0,38,1,39,0.0,0.8947368421052632,false,0.4001084802261311,0.2949953817604606,0.22944284071648618,0.3474385760535272,0.19836077655819218,0.3257141403137785,0.043543353305038265,0.38665154416551434,0.03321719092921711,0.34898289136812183,0.1806925382283031,0.45949960397520373,true
 5,9,9,1,43,0,10,2,12,0.6363636363636364,0.7272727272727273,false,0.19631170949514945,0.32438509803864674,0.028153145990217995,0.2034402919090328,-0.006528392975036123,0.3391965539931452,0.19063270638794455,0.14435437294596662,0.3740000287865954,0.27164158592177107,0.2439183205786866,0.21202892473523288,false
 6,0,6,15,23,0,2,6,2,0.0,0.8,true,0.9188723156000607,0.9615081600351543,0.9471396580941105,0.9601282155294217,0.940676128282347,0.9072015260604858,0.9609784678019205,0.9280371783675871,0.9571868122232648,0.9602933556271831,0.9239892889741914,0.914898316396968,true
 7,3,4,3,1,0,3,1,7,0.0,0.7647058823529411,true,0.010953063025013324,0.38435967961373557,0.2347324304098703,0.24437589263558443,0.4383863060638664,0.1885984829246846,0.07407144828582662,0.06386306329464997,0.2877405905156781,0.04459854038257655,0.18882362069634462,0.4139115198144681,false
 8,5,24,20,32,0,3,9,7,0.0,0.5555555555555556,true,0.09556552699826897,0.38227563098009576,0.2956629197511488,0.3921912750013962,0.17575959278055545,0.26773614157750336,0.14648287694482445,0.1494265817031863,0.40019071432345316,0.043391448189877016,0.13018714984795546,0.31588229869115564,true
 9,2,11,6,8,0,2,7,9,0.0,0.6111111111111112,true,-0.04421393854413787,0.29419262330643925,0.2276294867479957,0.22314997418139232,0.3317551363674304,0.13931575964362977,0.4325794693174102,0.015607213581870947,0.25786764941069845,-0.03547132395198506,0.19272680664783604,0.011900950385878316,false
 10,5,3,12,33,0,14,2,21,0.6923076923076923,0.8888888888888888,true,-0.007887757392999066,0.34968969134959416,-0.14420936874834886,0.5114718137567262,-0.07622715634226547,-0.05064114251375335,0.2075635959077997,0.40100778041764146,0.18989180074706927,0.26987518167822505,0.09607478481863027,0.04489261170429067,true
 11,3,2,18,22,0,5,5,9,0.0,0.8235294117647058,true,-0.18238604315556475,0.37181615349513886,0.1331649668491323,0.16431280540021947,0.2556308481251033,0.06528010386420864,-0.04371487980691626,-0.09897474703992967,0.1289521628212485,0.024494485078371774,0.10956116677480175,0.27251527915692164,false
 12,3,13,14,24,0,1,2,2,0.0,0.6,true,-0.23312834644144004,0.006811448317165643,0.23276372232668455,0.03922488875941392,0.3689298294274322,0.046470428882628735,0.22672051929265896,0.14019002807931266,0.3338843586188495,-0.04622449104621262,0.20833022998765266,0.32489649749617977,true
 13,20,1,2,29,0,1,2,3,0.7272727272727273,0.8421052631578947,false,0.07908150990512794,-0.15084902210104384,0.20301322481774428,-0.09474588483022067,-0.09391076143011051,0.3098488320124333,-0.037877331438954734,0.12875641228008358,-0.009962323954712653,-0.10448623356358376,-0.030024863355839537,0.07713584072974895,false
 14,9,32,9,65,0,29,5,30,0.9090909090909091,0.9333333333333333,false,0.08288951615580797,-0.00515538441174591,0.16338694905591797,0.15760246886018361,-0.024703397187635003,0.14328663563348118,0.09466944210577902,-0.07532960060028326,0.33374846501337607,0.04264710198847137,0.3095434137631004,0.18930684471909492,true
 15,16,8,5,45,0,3,1,1,0.0,0.8,true,-0.050816255113545816,0.2334211767038154,0.14143611656526317,0.43055392910292545,0.23091448304859327,0.3010242555236668,0.03601811859507714,0.4249211127108217,0.5095560291492187,0.26847339513875623,0.1673741806898488,0.46306317100877586,false
 16,11,31,11,36,0,28,3,27,0.6363636363636364,0.8421052631578947,false,0.18300800388699362,0.325714456641323,0.14043717681275128,0.20505010459353878,0.26129114298650336,0.30246887451697035,-0.11947943927549719,0.24004396920950655,0.29232690527366434,0.12202459798294599,0.30076891349798934,-0.04281000916143644,true
 17,2,0,27,2,0,19,0,14,0.7272727272727273,0.8,false,0.431798674247074,0.5837870485663575,0.24232296289475191,0.5779898835094649,0.3925017490875363,0.2883698179224313,0.5922048228641332,0.3992494158422883,0.6271348044968151,0.6397222953253222,0.43136079836292046,0.4724538683164662,false
 18,5,9,2,13,0,4,1,1,0.7777777777777778,0.8947368421052632,false,0.38655229825091975,-0.06666358629288026,-0.0665809222201595,0.3204737783792168,0.03157333365074001,-0.1075166467636165,0.008785920702072266,0.18352003863305122,0.12249219824669412,0.0019151160339026334,0.1627890940009795,-0.1783698089398055,true
 19,5,18,10,23,0,3,4,4,0.6923076923076923,0.8571428571428571,true,-0.07580236626065824,-0.08486847948161201,0.16284455128208172,0.18432313971356507,0.31352850445173536,0.16146551923766345,0.037855585809203354,0.27663852042063847,0.2559788390766342,0.25218251174456785,0.027143346280911237,-0.21731540798803609,false
 20,7,14,6,41,0,16,5,12,0.6923076923076923,0.8666666666666667,true,0.16472493420271167,0.23457712473742273,0.06363039270846431,0.31843089705954764,-0.0836952071006719,0.2855540716705545,0.16593484122000776,0.10278478010845943,0.1828661338241091,0.3766842323334146,0.4063696344744913,-0.05660602265241949,true
