PairID,DiffLOC,DiffIdentifierNo,DiffOperatorNo,DiffTokenNo,DiffTokenTypeDiversity,DiffUniqueIdentifierNo,DiffUniqueOperatorNo,DiffUniqueTokenNo,DiffFileNameScore,DiffMethodNameScore,IsSameReturnType,c2v_0,c2v_1,c2v_2,c2v_3,c2v_4,c2v_5,c2v_6,c2v_7,c2v_8,c2v_9,c2v_10,c2v_11,Decision
143,6,15,5,24,0,15,1,19,0.85,0.866667,false,0.43786,0.230891,0.096148,0.102652,0.055004,0.176355,0.22909,0.330067,0.162709,-0.209287,0.059342,0.250888,false
144,8,4,8,21,0,2,3,4,0.9,0.923077,false,0.336587,-0.202181,0.077443,0.32715,-0.01207,0.375652,0.066331,0.265812,-0.090658,-0.172907,0.199537,-0.23107,false
145,4,11,6,16,0,13,1,17,0.85,0.846154,false,0.227443,-0.110653,0.218219,0.202998,-0.272538,0.331526,0.176885,-0.025578,0.151844,0.07881,-0.008682,0.029173,false
146,14,13,4,48,0,2,0,9,0,0.272727,true,0.201097,0.369562,0.375813,0.179585,0.468188,0.146641,0.599162,0.321807,0.476399,0.190821,0.258528,0.125041,true
147,2,61,17,103,0,16,2,6,0,0.666667,true,0.108883,-0.058323,0.39824,0.15877,0.174313,-0.142019,0.303355,0.112833,0.341695,0.291311,-0.072962,0.277061,true
148,6,1,8,1,2,8,1,6,0.826087,0.736842,false,0.382583,0.329954,0.26085,0.148799,0.191088,0.120038,0.077834,0.164946,0.159559,0.154037,0.272427,0.116417,false
149,5,6,4,29,2,11,0,17,0.869565,0.736842,false,0.023759,-0.192714,-0.201433,0.211541,-0.012406,-0.085065,-0.201244,0.18695,0.215519,0.425009,0.192409,0.006444,false
150,1,13,3,9,1,11,1,2,0.652174,0.157895,false,0.037921,0.147587,0.45188,0.239744,0.443932,0.501094,0.548515,0.414395,0.332958,0.328841,0.218871,0.238665,false
151,0,11,17,5,2,5,2,5,0.695652,0.714286,false,0.330881,0.322263,0.379487,0.068841,0.090169,0.163687,-0.040841,-0.023092,0.374464,0.127768,0.392698,0.19685,false
152,7,3,6,6,2,5,2,5,0.73913,0.894737,false,0.046578,-0.011461,-0.116102,0.230714,0.121118,-0.27168,0.2638,0.067279,0.01572,0.055422,0.296423,-0.018671,false
153,5,4,4,31,2,6,0,16,0.869565,0.947368,false,0.062678,-0.166634,0.119829,-0.055856,-0.450139,-0.223927,-0.19839,0.397567,0.04113,0.262002,-0.003516,-0.104241,false
154,5,15,6,22,2,6,3,2,0.695652,0.909091,false,0.326601,0.489846,0.560492,0.251248,0.201179,0.383045,0.083781,0.247114,0.429249,0.201947,0.30588,0.539616,false
155,11,7,4,30,0,19,1,23,0.571429,0.636364,false,0.098419,-0.226481,-0.079474,0.268137,0.443093,0.341934,-0.103373,0.217946,-0.44038,0.011082,-0.103902,0.081846,false
156,7,12,5,8,1,3,0,4,0.8125,0.875,false,0.391322,-0.240923,0.164267,0.082329,0.386122,0.333082,0.297728,0.152012,-0.206538,0.10685,-0.030998,-0.01402,false
157,6,10,9,4,0,3,1,11,0.5,0.809524,false,0.493067,0.375434,0.262299,0.20578,0.435235,0.257637,0.256769,0.255169,0.071887,0.549392,0.515404,0.177901,true
158,1,2,14,5,0,3,3,1,0.777778,0.8,false,-0.061875,0.016969,0.327282,0.182905,0.061258,-0.068804,0.086927,0.21133,-0.022212,0.246841,0.109127,0.102529,false
159,11,5,12,32,0,14,1,22,0.571429,0.9,false,0.222722,-0.142014,-0.041126,0.046834,0.06913,0.014158,-0.245039,0.13116,-0.330064,-0.114633,-0.094894,-0.065947,false
160,1,14,2,21,0,2,2,8,0.5,0.818182,true,0.545229,0.469775,0.350081,0.288198,0.484697,0.326202,0.146087,0.418835,0.170571,0.551109,0.529946,0.236852,true
161,1,9,3,17,0,2,2,1,0.925926,0.863636,true,0.097933,-0.11248,-0.058005,0.150557,0.081429,-0.106976,0.028436,-0.31151,0.293416,0.064134,-0.144767,0.095585,false
162,1,8,3,14,0,2,2,5,0,0.842105,false,0.035843,-0.13804,-0.394069,0.121436,0.314958,0.052813,0.074229,0.10509,0.237467,-0.000888,-0.097185,-0.144194,true
